full_ID,temp,wg,start_date,start_datetime,end_datetime,is_valid,notes
MS_B1_F_17,43,689,8/30/2023,,,,
MS_B1_F_18,23,616,8/30/2023,,,,
MS_B1_F_19,43,617,8/30/2023,,,,
,,,,,,,
,,,,,,,
MS_B1_M_01,43,659,8/30/2023,,,,
MS_B1_M_02,,,8/30/2023,,,,
MS_B1_M_03,43,631,8/30/2023,,,,
MS_B1_M_04,,,8/30/2023,,,,
MS_B1_M_05,43,669,8/30/2023,,,,
MS_B1_M_06,23,627,8/30/2023,,,,
MS_B1_M_07,43,637,8/30/2023,,,,
MS_B1_M_08,43,635,8/30/2023,,,,
MS_B1_M_09,,,8/30/2023,,,,
MS_B1_M_10,,,8/30/2023,,,,
MS_B1_M_11,43,683,8/30/2023,,,,
MS_B1_M_12,,,8/30/2023,,,,
MS_B1_M_13,,,8/30/2023,,,,
MS_B1_M_14,23,665,8/30/2023,,,,
MS_B1_M_15,,,8/30/2023,,,,
MS_B1_M_16,,,8/30/2023,,,,
MS_B1_M_17,,,8/30/2023,,,,
MS_B1_M_18,43,618,8/30/2023,,,,
MS_B1_M_19,23,645,8/30/2023,,,,
MS_B1_M_20,43,663,8/30/2023,,,,
MS_B1_M_21,,,8/30/2023,,,,
,,,,,,,
MS_A1_F_21,37,699,8/31/2023,,,,
MS_A1_F_22,40,700,8/31/2023,,,,
MS_A1_F_23,37,706,8/31/2023,,,,
MS_A1_F_24,40,,8/31/2023,,,,
MS_A1_F_25,40,695,8/31/2023,,,,
MS_A1_F_26,37,696,8/31/2023,,,,
MS_A1_F_27,40,708,8/31/2023,,,,
MS_A1_F_28,37,703,8/31/2023,,,,
MS_A1_F_29,37,701,8/31/2023,,,,
